run_id,parallel_mode,n_gpu,n_layer,n_head,n_embd,block_size,dtype,param_count,model_size_GB,train_state_est_GB,global_batch_size,micro_batch_size_per_gpu,grad_accum_steps,avg_time_per_iter,tokens_per_sec,mfu,peak_mem_rank0_GB,avg_gpu_util_pct,final_train_loss,final_val_loss,notes,dataset,total_runtime_sec,avg_comm_time,avg_comm_ratio,avg_bandwidth_GBs,avg_collectives
dp_nlayer32_emb1536_g4,dp,4,32,24,1536,256,float32,906562560,3.377208709716797,13.508834838867188,64,16,1,0.2816482236595054,58171.85632176115,0.3417528299527743,22.52335023880005,99.90561887622475,0.07645274698734283,3.913447856903076,"shakespeare_char, dp",shakespeare_char,1476.8117518424988,,,,
single_nlayer32_emb1536_g1,single,1,32,24,1536,256,float32,906562560,3.377208709716797,13.508834838867188,64,16,4,0.6673181617314914,24552.006733172693,0.4525766570675863,22.49983787536621,24.981453709258147,0.07672478258609772,3.919614553451538,"shakespeare_char, single",shakespeare_char,3425.3275632858276,,,,
tp_nlayer32_emb1536_g4,tp,4,32,24,1536,256,float32,906562560,3.377208709716797,13.508834838867188,64,16,1,0.3327543870692405,49237.517630656424,0.10283006756948075,13.05796766281128,99.70725854829034,1.5901514291763306,1.766038179397583,"shakespeare_char, tp",shakespeare_char,1690.5368599891663,,,,
single_nlayer6_emb512_g1,single,1,6,8,512,256,float32,19045376,0.07094955444335938,0.2837982177734375,64,16,4,0.028910256893881766,566719.2809852659,0.24575597969479365,0.8483071327209473,23.285542891421716,1.1614075899124146,1.495082139968872,"shakespeare_char, single",shakespeare_char,183.55321311950684,,,,
dp_nlayer6_emb512_g4,dp,4,6,8,512,256,float32,19045376,0.07094955444335938,0.2837982177734375,64,16,1,0.014433726737026795,1135119.1759762345,0.16736717385785518,0.9011373519897461,89.73080383923215,1.1577856540679932,1.4973289966583252,"shakespeare_char, dp",shakespeare_char,95.95919585227966,,,,
mp_nlayer32_emb1536_g4,mp,4,32,24,1536,256,float32,906662400,3.3775806427001953,13.510322570800781,64,16,4,0.8763775380764569,18695.139124584257,0.3448774578663434,5.721453666687012,25.699360127974405,0.07676111906766891,3.9261269569396973,"shakespeare_char, mp",shakespeare_char,4407.843940734863,,,,
mp_nlayer6_emb512_g4,mp,4,6,8,512,256,float32,19078656,0.07107353210449219,0.28429412841796875,64,16,4,0.047929346812222814,341836.4966288628,0.15953866987578721,0.3066568374633789,24.33118376324735,1.1573567390441895,1.4951231479644775,"shakespeare_char, mp",shakespeare_char,241.82624673843384,,,,
tp_nlayer6_emb512_g4,tp,4,6,8,512,256,float32,19045376,0.07094955444335938,0.2837982177734375,64,16,1,0.04223076166501864,387963.63963218534,0.029539771173965747,0.6523280143737793,66.16811637672465,2.161207675933838,2.1997931003570557,"shakespeare_char, tp",shakespeare_char,217.04556703567505,,,,
zero1_nlayer32_emb1536_g4,zero1,4,32,24,1536,256,float32,906562560,3.377208709716797,13.508834838867188,64,16,4,0.4636065816143619,35340.30932638607,0.24432264802560225,25.59720516204834,99.49540091981603,1.3027442693710327,1.619209885597229,"shakespeare_char, ds_zero1",shakespeare_char,2352.164720058441,0.0,0.0,0.0,0.0
tp_nlayer48_emb2048_g4,tp,4,48,32,2048,256,float32,2416908288,9.003684997558594,36.014739990234375,64,16,1,0.9284007183847673,17647.55204897396,0.11800805636264376,29.415892601013184,97.73215356928614,1.5751882791519165,1.7460507154464722,"shakespeare_char, tp",shakespeare_char,4698.5242755413055,,,,
zero2_nlayer32_emb1536_g4,zero2,4,32,24,1536,256,float32,906562560,3.377208709716797,13.508834838867188,64,16,1,0.49263128009498824,33258.13983399687,0.21197550936669993,23.065211296081543,99.32138572285542,1.7034066915512085,1.8924386501312256,"shakespeare_char, ds_zero2",shakespeare_char,2495.610258102417,0.0,0.0,0.0,0.0
tp_nlayer24_emb1024_g4,tp,4,24,16,1024,256,float32,302368768,1.1264114379882812,4.505645751953125,64,16,1,0.16179937849157536,101261.2047879596,0.09616649322221806,5.711776256561279,97.08278344331134,1.7581185102462769,1.9106072187423706,"shakespeare_char, tp",shakespeare_char,824.6863441467285,,,,
dp_nlayer24_emb1024_g4,dp,4,24,16,1024,256,float32,302368768,1.1264114379882812,4.505645751953125,64,16,1,0.11371625255568667,144077.9099889594,0.2899364283457961,8.625248432159424,99.71465706858628,0.09053310751914978,3.341921806335449,"shakespeare_char, dp",shakespeare_char,609.0705809593201,,,,
mp_nlayer24_emb1024_g4,mp,4,24,16,1024,256,float32,302435328,1.1266593933105469,4.5066375732421875,64,16,4,0.40179396019601027,40777.11868044822,0.2532560101953703,2.241642951965332,25.455558888222356,0.08908972144126892,3.3961009979248047,"shakespeare_char, mp",shakespeare_char,2020.7393867969513,,,,
single_nlayer24_emb1024_g1,single,1,24,16,1024,256,float32,302368768,1.1264114379882812,4.505645751953125,64,16,4,0.2880069617158878,56887.513768373545,0.3540796879643784,8.706229209899902,24.935812837432515,0.0892161875963211,3.370734930038452,"shakespeare_char, single",shakespeare_char,1495.6601994037628,,,,
zero1_nlayer6_emb512_g4,zero1,4,6,8,512,256,float32,19045376,0.07094955444335938,0.2837982177734375,64,16,1,0.020204030256475818,810927.3146009363,0.1221426622741264,4.770588397979736,88.77309538092382,1.5370138883590698,1.7365174293518066,"shakespeare_char, ds_zero1",shakespeare_char,102.93214893341064,0.0,0.0,0.0,0.0
